wiki.zip.aa
t01945-2342 t01581-2359 t01699-2367 t02014-2391
Retrieving t01945 2342 bafykbzaceantezfhi5gfy22imlfbb4gofn75vnu2lo3bzje4fddiyrph2d5ls
> Recv: 0 B, Paid 0 FIL, ClientEventOpen (DealStatusNew)
> Recv: 0 B, Paid 0 FIL, ClientEventDealProposed (DealStatusWaitForAcceptance)
> Recv: 0 B, Paid 0 FIL, ClientEventDealAccepted (DealStatusAccepted)
> Recv: 0 B, Paid 0 FIL, ClientEventPaymentChannelAddingFunds (DealStatusPaymentChannelAddingFunds)
> Recv: 12.81 KiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusPaymentChannelAddingFunds)
> Recv: 12.81 KiB, Paid 0 FIL, ClientEventPaymentRequested (DealStatusPaymentChannelAddingFunds)
> Recv: 1.013 MiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusPaymentChannelAddingFunds)
> Recv: 1.013 MiB, Paid 0 FIL, ClientEventPaymentChannelReady (DealStatusOngoing)
> Recv: 1.013 MiB, Paid 0 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 1.013 MiB, Paid 0 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 1.013 MiB, Paid 0.00000000000212338 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 2.013 MiB, Paid 0.00000000000212338 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 2.013 MiB, Paid 0.00000000000212338 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 3.013 MiB, Paid 0.00000000000212338 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 3.013 MiB, Paid 0.00000000000212338 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 3.013 MiB, Paid 0.000000000006317684 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 4.013 MiB, Paid 0.000000000006317684 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 5.013 MiB, Paid 0.000000000006317684 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 5.013 MiB, Paid 0.000000000006317684 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 6.013 MiB, Paid 0.000000000006317684 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 6.013 MiB, Paid 0.000000000006317684 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 6.013 MiB, Paid 0.00000000001260914 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 7.013 MiB, Paid 0.00000000001260914 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 8.013 MiB, Paid 0.00000000001260914 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 9.013 MiB, Paid 0.00000000001260914 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 9.013 MiB, Paid 0.00000000001260914 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 10.01 MiB, Paid 0.00000000001260914 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 10.01 MiB, Paid 0.00000000001260914 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 10.01 MiB, Paid 0.000000000020997748 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 11.01 MiB, Paid 0.000000000020997748 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 12.01 MiB, Paid 0.000000000020997748 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 13.01 MiB, Paid 0.000000000020997748 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 14.01 MiB, Paid 0.000000000020997748 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 14.01 MiB, Paid 0.000000000020997748 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 15.01 MiB, Paid 0.000000000020997748 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 15.01 MiB, Paid 0.000000000020997748 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 15.01 MiB, Paid 0.000000000031483508 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 16.01 MiB, Paid 0.000000000031483508 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 17.01 MiB, Paid 0.000000000031483508 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 18.01 MiB, Paid 0.000000000031483508 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 19.01 MiB, Paid 0.000000000031483508 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 20.01 MiB, Paid 0.000000000031483508 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 20.01 MiB, Paid 0.000000000031483508 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 21.01 MiB, Paid 0.000000000031483508 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 21.01 MiB, Paid 0.000000000031483508 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 21.01 MiB, Paid 0.00000000004406642 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 22.01 MiB, Paid 0.00000000004406642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 23.01 MiB, Paid 0.00000000004406642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 24.01 MiB, Paid 0.00000000004406642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 25.01 MiB, Paid 0.00000000004406642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 26.01 MiB, Paid 0.00000000004406642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 27.01 MiB, Paid 0.00000000004406642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 27.01 MiB, Paid 0.00000000004406642 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 28.01 MiB, Paid 0.00000000004406642 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
