> Recv: 0 B, Paid 0 FIL, ClientEventOpen (DealStatusNew)
> Recv: 0 B, Paid 0 FIL, ClientEventDealProposed (DealStatusWaitForAcceptance)
> Recv: 0 B, Paid 0 FIL, ClientEventDealAccepted (DealStatusAccepted)
> Recv: 0 B, Paid 0 FIL, ClientEventPaymentChannelAddingFunds (DealStatusPaymentChannelAddingFunds)
> Recv: 1.736 KiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusPaymentChannelAddingFunds)
> Recv: 1.736 KiB, Paid 0 FIL, ClientEventPaymentRequested (DealStatusPaymentChannelAddingFunds)
> Recv: 1.002 MiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusPaymentChannelAddingFunds)
> Recv: 1.002 MiB, Paid 0 FIL, ClientEventPaymentChannelReady (DealStatusOngoing)
> Recv: 1.002 MiB, Paid 0 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 1.002 MiB, Paid 0 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 1.002 MiB, Paid 0.000000000002100708 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 2.002 MiB, Paid 0.000000000002100708 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 2.002 MiB, Paid 0.000000000002100708 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 3.002 MiB, Paid 0.000000000002100708 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 3.002 MiB, Paid 0.000000000002100708 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 3.002 MiB, Paid 0.000000000006295012 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 4.002 MiB, Paid 0.000000000006295012 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 5.002 MiB, Paid 0.000000000006295012 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 5.002 MiB, Paid 0.000000000006295012 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 6.002 MiB, Paid 0.000000000006295012 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 6.002 MiB, Paid 0.000000000006295012 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 6.002 MiB, Paid 0.000000000012586468 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 7.002 MiB, Paid 0.000000000012586468 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 8.002 MiB, Paid 0.000000000012586468 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 9.002 MiB, Paid 0.000000000012586468 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 9.002 MiB, Paid 0.000000000012586468 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 10 MiB, Paid 0.000000000012586468 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 10 MiB, Paid 0.000000000012586468 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 10 MiB, Paid 0.000000000020975076 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 11 MiB, Paid 0.000000000020975076 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 12 MiB, Paid 0.000000000020975076 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 13 MiB, Paid 0.000000000020975076 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 14 MiB, Paid 0.000000000020975076 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 14 MiB, Paid 0.000000000020975076 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 15 MiB, Paid 0.000000000020975076 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 15 MiB, Paid 0.000000000020975076 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 15 MiB, Paid 0.000000000031460836 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 16 MiB, Paid 0.000000000031460836 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 17 MiB, Paid 0.000000000031460836 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 18 MiB, Paid 0.000000000031460836 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 19 MiB, Paid 0.000000000031460836 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 20 MiB, Paid 0.000000000031460836 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 20 MiB, Paid 0.000000000031460836 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 21 MiB, Paid 0.000000000031460836 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 21 MiB, Paid 0.000000000031460836 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 21 MiB, Paid 0.000000000044043748 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 22 MiB, Paid 0.000000000044043748 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 23 MiB, Paid 0.000000000044043748 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 24 MiB, Paid 0.000000000044043748 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 25 MiB, Paid 0.000000000044043748 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 26 MiB, Paid 0.000000000044043748 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 27 MiB, Paid 0.000000000044043748 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 27 MiB, Paid 0.000000000044043748 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 28 MiB, Paid 0.000000000044043748 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 28 MiB, Paid 0.000000000044043748 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 28 MiB, Paid 0.000000000058723812 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 29 MiB, Paid 0.000000000058723812 FIL, ClientEventBlocksReceived (DealStatusOngoing)
