Created          DealCid                                                      DealId  Provider  State                          On Chain?        Slashed?  PieceCID                                                          Size       Price               Duration  Message
Sep  1 23:13:11  bafyreiffxrjdchwuynkc4ws7quznj4vaqxafi36gxkx4hdndnyujmtv4lq  0       t09053    StorageDealTransferring        N                N         baga6ea4seaqgme4x3jpm3er5yhixaejoba5zfc3kc5j4k4msqfggy4cpqo6eeei  7.938 MiB  0.0000753255 FIL    602604    
Sep  1 23:13:14  bafyreif23upst2b7ksassxoz4n76lovg62i2qhupgccn6ulf76lkf5675a  62174   t09731    StorageDealSealing             N                N         baga6ea4seaqg5q37vsyxkysrjinode7fkcyo5dbbxw5nbszocqfnnmt76yg56ni  7.938 MiB  0.000075371375 FIL  602971    
Sep  1 23:13:17  bafyreibdniqx3zy364gjuxjlmf7geex5b5xeovuitfwx5ptoxbybfhhqtm  62177   t07987    StorageDealSealing             N                N         baga6ea4seaqdezizmlalkeerv7xw6o2krwcfbu33sgu3it2kwo34rzx2gpgpifi  7.938 MiB  0.0000754035 FIL    603228    
Sep  1 23:13:20  bafyreif7cdhiwhd6nlsynkrbhlgqgmx7rv3d7m7tg3ugc7jjjfq2v2stku  0       t09707    StorageDealTransferring        N                N         baga6ea4seaqkv66vsi6oend4reyrgesey6qbypbamvzb432d6by4t4il3t3dyaq  7.938 MiB  0.000075162625 FIL  601301    
Sep  1 23:13:24  bafyreif2kqh36rljy5cg4ggsokjvd3rs7kaocab7hytivhfss23wlxvhne  62162   t02301    StorageDealActive              Y (epoch 25537)  N         baga6ea4seaqg5gwin22dgtdjzyre5jtneufbpuovybmczpwsn5ug6uyhj2zzcji  7.938 MiB  0.000075410125 FIL  603281    
Sep  1 23:13:27  bafyreiczecgzkflgvnqztt3s3xozrfoqvjo5qmuf3fgubyvr7uoazsj2zi  0       t03136    StorageDealError               N                N         baga6ea4seaqnit5nkrbuubkxzfy4y2fxuabhuzxlvr5ej4bpa47heacwy3lt6jq  7.938 MiB  0.000075175125 FIL  601401    unexpected deal status while waiting for data request: 11 (StorageDealFailing). Provider message: deal rejected: clientMarketBalance.Available too small
Sep  1 23:13:30  bafyreicn6bufr2wpn6zg4kcmlnti6uh75htdyd4wuhuqszb436jlpbnfgi  62186   t02613    StorageDealSealing             N                N         baga6ea4seaqnd3pjtc6tppxrnalbnxdcaddntycciqoeyad3w2j5rrinwhrosby  7.938 MiB  0.000075273625 FIL  602189    
Sep  1 23:14:13  bafyreicliioytmv5jdfpiubsca536mgz2wrm5fqgtu36lumguq2wuqcemq  62188   t02421    StorageDealActive              Y (epoch 25564)  N         baga6ea4seaqhdkpzojpekkoeqhqt4j2wh75avf4wqag6zjtlu5qhnrxh34jucaa  7.938 MiB  0.000075405 FIL     603240    
Sep  1 23:14:18  bafyreib7cy6mrz74nn54md44u33wj3rzge2lwkwpqmii6suq6uuwfyx4pe  0       t09712    StorageDealError               N                N         baga6ea4seaqkrqyotoortfqb76werlvhrothmcc2acyb4gvprbii3frwrz7yqdy  7.938 MiB  0.00007532125 FIL   602570    error reading Response message: stream reset
Sep  1 23:14:21  bafyreiavmfm5bqme26aj7utdj7e3x6cc46lcvtcy222cxaxqxc3xuwe2cq  62201   t08937    StorageDealSealing             N                N         baga6ea4seaqoue7eg5fgyjhmg6ubejl6htvd6lsoqw5aoj3fyzb7rz56ktsfcey  7.938 MiB  0.000075391 FIL     603128    
Sep  1 23:14:23  bafyreie2wue2d473d7bfqkjdtupcyxd7cmxkq7s3wurje3r2qfniinkkga  0       t07775    StorageDealTransferring        N                N         baga6ea4seaqcmdzqqsx6opb4ifn34nrxsptnudc6xwdeqw25ahls7dmdr5p4khy  7.938 MiB  0.00007520325 FIL   601626    
Sep  1 23:14:28  bafyreidvmy5mgekjnc6eqbo63q22ma3yxtqzcbtbo2hudtzctitk4r6uba  0       t07806    StorageDealTransferring        N                N         baga6ea4seaqkefbcifhla6n6uiti3aekge624s6mqquzkpkch34tjddn22uaifa  7.938 MiB  0.000075355125 FIL  602841    
Sep  1 23:14:52  bafyreif4xj2f4jdxtu7icnqqedihhibgoufsdgrgkjkgay7thb5wqudfpu  62199   t03339    StorageDealSealing             N                N         baga6ea4seaqinkxfgrlwkcvdespmybbh2o7vgefhl4maqzbzome7rzpncvwlupa  7.938 MiB  0.000075350625 FIL  602805    
Sep  1 23:14:54  bafyreig2tdkxgogcgv37wcevmslufrkmqckjddebmuos54kxl7o3erasuq  0       t03620    StorageDealError               N                N         baga6ea4seaqjjarovtr7476rxuqpyrtvkzv6blm2uwjgig2ih2h6io474r5wwoi  7.938 MiB  0.000075465 FIL     603720    unexpected deal status while waiting for data request: 11 (StorageDealFailing). Provider message: deal rejected: getting client market balance failed
Sep  1 23:14:57  bafyreifp33ektxffy4jd7judqs45wbxehwblqipem7ldhm2wgogwwqecia  62198   t03512    StorageDealSealing             N                N         baga6ea4seaqdsu4gwnjj36uonuubnb2ns6o4nwolc4ra2cf5ezvhdafwt6luuha  7.938 MiB  0.0000754525 FIL    603620    
Sep  1 23:20:07  bafyreig5m54dvvtkqdb3oz7pnntro34qcwn4cd2a4q3u5ltyxfv7ma5jm4  62240   t010558   StorageDealSealing             N                N         baga6ea4seaqibv7krb5jooxjlmppbukaevi5zphpjxo7w2qowpahszdisp5xogi  7.938 MiB  0.00007514925 FIL   601194    
Sep  1 23:20:10  bafyreigq4qj3oxxtrhqazdehq57clxtsyflstmqxaphzr7a5x5ii3zhfa4  62247   t014314   StorageDealSealing             N                N         baga6ea4seaqnnau4i3lwxnechg4j3i7jxovm7t2rhk3h4rqr2fl6bt3yuwgpoaa  7.938 MiB  0.00007536425 FIL   602914    
Sep  1 23:20:14  bafyreiambz4lfji56brawxk737vahj45ysvfaxsvfy35fzpqovzdd7hhfi  0       t03619    StorageDealTransferring        N                N         baga6ea4seaqlx7cd76ghoptf3grwl5zuyp2i7khdgslmtxreusegpzut5ylpeii  7.938 MiB  0.00007516025 FIL   601282    
Sep  1 23:20:16  bafyreifohynwxyd6vxmb7c7ylgfqtvfsbpjhimkrfg32xwhitaarjocm54  62253   t014394   StorageDealActive              Y (epoch 25630)  N         baga6ea4seaqnhwxyjayqlxyziqtezrryflym4lezfuv5ukerncfgr2oqdbt22aa  7.938 MiB  0.00007538925 FIL   603114    
Sep  1 23:20:19  bafyreihm5y5ipky3ze7hdeafk64ty5xnp7qv64vm7citeuxuqjterflnau  0       t015760   StorageDealError               N                N         baga6ea4seaqjne747jlf2uclquxi3ps7ltdsy2tvoap4vgrmg5sgamu77fi7yki  7.938 MiB  0.000075337375 FIL  602699    unexpected deal status while waiting for data request: 11 (StorageDealFailing). Provider message: deal rejected: clientMarketBalance.Available too small
Sep  1 23:20:25  bafyreia74cezkzrgcznwajd5oy4p2i7yndjmgjvbaffknpcmm6aezpr4fi  0       t03345    StorageDealTransferring        N                N         baga6ea4seaqpwufahnpywowrdjhcy4r3bynp6kknkfkhsqygzoggfnss3ictyaa  7.938 MiB  0.00007532775 FIL   602622    
