Created          DealCid                                                      DealId  Provider  State             On Chain?    Slashed?     PieceCID                                                          Size       Price               Duration  Message
Sep 18 05:25:14  bafyreiglugrarrgxhpqotsxxfwqtjsixcp7xeq4hxwvpyouzivrubennte  0       t08094    StorageDealError  N            N            baga6ea4seaqdezizmlalkeerv7xw6o2krwcfbu33sgu3it2kwo34rzx2gpgpifi  7.938 MiB  0.0000754335 FIL    603468    failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:25:16  bafyreicpmm4na3mo5iagen2hcfrkmgkvtfzcyvss6tdovkb7t47uxdhire  146784  t019824   StorageDealError  Y (epoch 0)  Y (epoch 0)  baga6ea4seaqgme4x3jpm3er5yhixaejoba5zfc3kc5j4k4msqfggy4cpqo6eeei  7.938 MiB  0.000075273625 FIL  602189    error in deal activation: failed to set up called handler: called check error (h: 79823): client: failed to look up deal on chain: deal 146784 not found
Sep 18 05:26:13  bafyreiarrh7pjihgcuy4yed7uyni4p4ok6xid3uf3gcd7dvqcyct3yrx4a  146783  t019399   StorageDealError  Y (epoch 0)  Y (epoch 0)  baga6ea4seaqg5q37vsyxkysrjinode7fkcyo5dbbxw5nbszocqfnnmt76yg56ni  7.938 MiB  0.000075157 FIL     601256    error in deal activation: failed to set up called handler: called check error (h: 79823): client: failed to look up deal on chain: deal 146783 not found
Sep 18 05:26:17  bafyreihe5oq2uqqnv2doqp7eneqfkhsqcyuijk34rgloyciwsv6wtw5na4  0       t016563   StorageDealError  N            N            baga6ea4seaqnit5nkrbuubkxzfy4y2fxuabhuzxlvr5ej4bpa47heacwy3lt6jq  7.938 MiB  0.000075468 FIL     603744    failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:26:19  bafyreibla6huma5nclrysbgqu6g2mhpiu6yxa2suwzl3je5tqzsls55kne  0       t020563   StorageDealError  N            N            baga6ea4seaqkv66vsi6oend4reyrgesey6qbypbamvzb432d6by4t4il3t3dyaq  7.938 MiB  0.000075150375 FIL  601203    error reading Response message: stream reset
Sep 18 05:26:23  bafyreiapgblrckhepmrhch7wvyx3jr3xmerg5w3qgwzsdxbhy3rnwj553a  0       t019437   StorageDealError  N            N            baga6ea4seaqnd3pjtc6tppxrnalbnxdcaddntycciqoeyad3w2j5rrinwhrosby  7.938 MiB  0.000075294125 FIL  602353    failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:26:27  bafyreiadk3abytsmkr7awbd6g23p6nzzk33loh3iyqhopw4zbfhdm5uhue  0       t019723   StorageDealError  N            N            baga6ea4seaqg5gwin22dgtdjzyre5jtneufbpuovybmczpwsn5ug6uyhj2zzcji  7.938 MiB  0.000075459125 FIL  603673    failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:26:43  bafyreicnsbymwempoagjiadlpoppcxmpnwvvwixic5ciwwuijwsvm6fe5q  0       t015747   StorageDealError  N            N            baga6ea4seaqkrqyotoortfqb76werlvhrothmcc2acyb4gvprbii3frwrz7yqdy  7.938 MiB  0.000075356625 FIL  602853    failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:26:47  bafyreidng6jklv2ml3qwkmpt7ygmz4pj65g6t3tjni3yt7i4vjajmfep7y  0       t017665   StorageDealError  N            N            baga6ea4seaqhdkpzojpekkoeqhqt4j2wh75avf4wqag6zjtlu5qhnrxh34jucaa  7.938 MiB  0.000075195 FIL     601560    failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:26:50  bafyreigxxagoy2uxtejrnlqzpqrxtfuv6axv2dpgwdhj2svs3phjuk6tnu  0       t016303   StorageDealError  N            N            baga6ea4seaqoue7eg5fgyjhmg6ubejl6htvd6lsoqw5aoj3fyzb7rz56ktsfcey  7.938 MiB  0.0000754855 FIL    603884    unexpected deal status while waiting for data request: 11 (StorageDealFailing). Provider message: deal rejected: Client Wallet:t3vp7m3244tjtxrvg4n2lfedtqnnnzhyno3ym6vnl4wzozztik4f2kvzfbfbgzcga7g3mckddw6x4ahp5n4iwa / PeerID:12D3KooWGSMixJZE6HMUcymXfGgHF8jyUvae8TBj8g5GxUyAjh2u not found in allow-list: open a PR against https://github.com/filecoin-project/slingshot/blob/master/allowlist.txt

Sep 18 05:29:38  bafyreibrndb5vkuexabeivpgh7hzkzpijh3e5zlipykoz2oivw32wedhh4  0       t015647  StorageDealError  N            N            baga6ea4seaqcmdzqqsx6opb4ifn34nrxsptnudc6xwdeqw25ahls7dmdr5p4khy  7.938 MiB  0.00007542725 FIL   603418  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:29:43  bafyreifubz3zjtq6fpwmcsqiimp65andkpnvbu2k3uqc3tqo7rpyfkpnpe  0       t08854   StorageDealError  N            N            baga6ea4seaqibv7krb5jooxjlmppbukaevi5zphpjxo7w2qowpahszdisp5xogi  7.938 MiB  0.000075294375 FIL  602355  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:30:00  bafyreid2ednrjttkn5fws6acqyffevcdzjikgr7556dn6dl636lm5jocz4  0       t03344   StorageDealError  N            N            baga6ea4seaqkefbcifhla6n6uiti3aekge624s6mqquzkpkch34tjddn22uaifa  7.938 MiB  0.000075230125 FIL  601841  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:30:16  bafyreienhiskuaxeqetapjfpbbtgzplrmwtb3nr3vtnzr6p7d2urqc54lq  0       t09573   StorageDealError  N            N            baga6ea4seaqjjarovtr7476rxuqpyrtvkzv6blm2uwjgig2ih2h6io474r5wwoi  7.938 MiB  0.000075441 FIL     603528  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:30:20  bafyreial4ognyvjrf7nwub755sc5tiwhagftpei3mfhj4z7fj3jhhhj2ti  146786  t010399  StorageDealError  Y (epoch 0)  Y (epoch 0)  baga6ea4seaqinkxfgrlwkcvdespmybbh2o7vgefhl4maqzbzome7rzpncvwlupa  7.938 MiB  0.000075450625 FIL  603605  error in deal activation: failed to set up called handler: called check error (h: 79823): client: failed to look up deal on chain: deal 146786 not found
Sep 18 05:30:25  bafyreifq4q2lhlw6pgwzhipfa3piylenocrrzbzxo54gdkefdgd44jrcgi  0       t019422  StorageDealError  N            N            baga6ea4seaqdsu4gwnjj36uonuubnb2ns6o4nwolc4ra2cf5ezvhdafwt6luuha  7.938 MiB  0.000075146125 FIL  601169  unexpected deal status while waiting for data request: 11 (StorageDealFailing). Provider message: deal rejected: node error getting client market balance failed: resolve address t3vp7m3244tjtxrvg4n2lfedtqnnnzhyno3ym6vnl4wzozztik4f2kvzfbfbgzcga7g3mckddw6x4ahp5n4iwa: actor not found
Sep 18 05:30:42  bafyreidxgxuqg47b4ceamtdxubcby4ei2nvxotqt23jggjxmokw4cljitm  0       t08937   StorageDealError  N            N            baga6ea4seaqjne747jlf2uclquxi3ps7ltdsy2tvoap4vgrmg5sgamu77fi7yki  7.938 MiB  0.000075401875 FIL  603215  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:30:52  bafyreifh62s6h5l7wopyn4csolwmf5r6qosbhpxexu3l5sypp6asxh5v7q  0       t014432  StorageDealError  N            N            baga6ea4seaqnnau4i3lwxnechg4j3i7jxovm7t2rhk3h4rqr2fl6bt3yuwgpoaa  7.938 MiB  0.000075368875 FIL  602951  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:30:55  bafyreiexhcinjw6mg2qkwwp7b7xrq462p5pde7s4j4a2w7daei2shftsam  0       t016306  StorageDealError  N            N            baga6ea4seaqlx7cd76ghoptf3grwl5zuyp2i7khdgslmtxreusegpzut5ylpeii  7.938 MiB  0.000075270875 FIL  602167  unexpected deal status while waiting for data request: 11 (StorageDealFailing). Provider message: deal rejected: Client Wallet:t3vp7m3244tjtxrvg4n2lfedtqnnnzhyno3ym6vnl4wzozztik4f2kvzfbfbgzcga7g3mckddw6x4ahp5n4iwa / PeerID:12D3KooWGSMixJZE6HMUcymXfGgHF8jyUvae8TBj8g5GxUyAjh2u not found in allow-list: open a PR against https://github.com/filecoin-project/slingshot/blob/master/allowlist.txt

Sep 18 05:31:00  bafyreidzej3hd4v2aw2emivsmmzv2bbc6xqdvgysfanieeyzxs2nh5gjhm  146785  t014233  StorageDealActive  Y (epoch 71969)  N  baga6ea4seaqmejihtpxcki3t5fqmkbdhm5bm4nfipgumsr3t6eeaztpthbj6mmq  7.938 MiB  0.000075220375 FIL  601763  
Sep 18 05:33:06  bafyreifewjt4zwwyyqr6xk5lw33abj2sfdwnsenjm65xsxcxjopadcfexe  0       t03345   StorageDealError   N                N  baga6ea4seaqpwufahnpywowrdjhcy4r3bynp6kknkfkhsqygzoggfnss3ictyaa  7.938 MiB  0.0000753395 FIL    602716  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:33:17  bafyreidhxoefcmzv7oftsdkyfkkv6ujrb4wk7tlthtpvrexi5cwr5xqp2a  0       t08220   StorageDealError   N                N  baga6ea4seaqnhwxyjayqlxyziqtezrryflym4lezfuv5ukerncfgr2oqdbt22aa  7.938 MiB  0.00007530725 FIL   602458  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:33:21  bafyreidgye4h3bgbnu7s4zwa77v4qyxfwyckrknn577zuuyvfjs5flfysi  0       t016305  StorageDealError   N                N  baga6ea4seaqc5i7bzwpicfysmph4ewp5pf4txsqrvrgwmq3idt2txrmkgcxpsbi  7.938 MiB  0.00007523425 FIL   601874  unexpected deal status while waiting for data request: 11 (StorageDealFailing). Provider message: deal rejected: Client Wallet:t3vp7m3244tjtxrvg4n2lfedtqnnnzhyno3ym6vnl4wzozztik4f2kvzfbfbgzcga7g3mckddw6x4ahp5n4iwa / PeerID:12D3KooWGSMixJZE6HMUcymXfGgHF8jyUvae8TBj8g5GxUyAjh2u not found in allow-list: open a PR against https://github.com/filecoin-project/slingshot/blob/master/allowlist.txt

Sep 18 05:33:24  bafyreigbddb7kspl5w72bklxxncc5sk2whghynjkjk5ccqxktmlclo6rqu  146789  t014207  StorageDealError  Y (epoch 0)  Y (epoch 0)  baga6ea4seaqiqy66h66l52neob26pwvukfkz346b36v23mpcdbafokz4225zeia  7.938 MiB  0.000075329125 FIL  602633  error in deal activation: failed to set up called handler: called check error (h: 79823): client: failed to look up deal on chain: deal 146789 not found
Sep 18 05:33:42  bafyreiba2xzlzqu5woxkfsua5n62g3rbksbitd3qv6gytkr5rof2tjylxi  0       t02419   StorageDealError  N            N            baga6ea4seaqet3cglbgw7zv7ymomfmlo7ubnspo2h46vikrznic6q4vofujacoy  7.938 MiB  0.000075297625 FIL  602381  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:34:43  bafyreibpsojyca6a7ytadir4tne774qtsqkarmgarrcwh632ewa3ldd6yi  0       t014436  StorageDealError  N            N            baga6ea4seaqa3mj7tkzwumdjor7l7fzfltmnx4lpr7atiial32drupuczkx72ga  7.938 MiB  0.000075470375 FIL  603763  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:35:37  bafyreieucf4zdwwqggzmaqngpekuf7c2r7ite5s2wf3ghwy4yo7ogxdkoq  0       t016304  StorageDealError  N            N            baga6ea4seaqe7ecfmahc72onz5ltictnrurj4wpg6imi32htf4hxvzx2wjniqgi  7.938 MiB  0.000075241625 FIL  601933  unexpected deal status while waiting for data request: 11 (StorageDealFailing). Provider message: deal rejected: Client Wallet:t3vp7m3244tjtxrvg4n2lfedtqnnnzhyno3ym6vnl4wzozztik4f2kvzfbfbgzcga7g3mckddw6x4ahp5n4iwa / PeerID:12D3KooWGSMixJZE6HMUcymXfGgHF8jyUvae8TBj8g5GxUyAjh2u not found in allow-list: open a PR against https://github.com/filecoin-project/slingshot/blob/master/allowlist.txt

Sep 18 05:35:40  bafyreictg5hhrzwilacf5csczygnlhqyubbfdsthps737a3axf4fo2s2wa  146788  t016594  StorageDealActive  Y (epoch 71767)  N            baga6ea4seaqph6o7jzayt6xxezuczqr7e3zzneqlktpja2ggcsyyev4fwcafshy  7.938 MiB  0.000075215875 FIL  601727  
Sep 18 05:35:45  bafyreico2g2ktxfdwnt7kzbldijztycigiunfty4b2fpzoplyuysaxpiwi  146787  t018772  StorageDealError   Y (epoch 0)      Y (epoch 0)  baga6ea4seaqngnwi5364iblsvxltj4upc2suw74xb2ufxbi623h7uxajkmw74ea  7.938 MiB  0.000075351875 FIL  602815  error in deal activation: failed to set up called handler: called check error (h: 79823): client: failed to look up deal on chain: deal 146787 not found
Sep 18 05:35:49  bafyreiaalsoghzvzrpibdm3gkeacnfxtno7fdr5m2al5xw325sdznv44ei  0       t020453  StorageDealError   N                N            baga6ea4seaqponifa5ngyovdxmaznlndq4xl5esvd2ki6igjml5gs4sn44rdyei  7.938 MiB  0.000075259375 FIL  602075  failed to initiate data transfer: failed to open push data channel: Unable to send request: routing: not found
Sep 18 05:35:53  bafyreigg5kejs75lg2bbex63js3b7qta2nxqakrn6ohibcyp2muu5piwz4  146794  t020378  StorageDealError   Y (epoch 0)      Y (epoch 0)  baga6ea4seaqfmogidqfeo2klni35hcqbdvrpic6q5g6pbipzgeopomdhgxfmofa  7.938 MiB  0.0000751545 FIL    601236  error in deal activation: failed to set up called handler: called check error (h: 79823): client: failed to look up deal on chain: deal 146794 not found
Sep 18 05:35:57  bafyreihazvjnc4sgkdbzvjiytmzomrzx5gsbbl2ekyorabtuvu57ezv4vq  146791  t020385  StorageDealError   Y (epoch 0)      Y (epoch 0)  baga6ea4seaqhsnb2uwdzdjmqxdd3pgxbwozbcrfai7gboqnvnvr5h5jbre2okaq  7.938 MiB  0.000075320125 FIL  602561  error in deal activation: failed to set up called handler: called check error (h: 79823): client: failed to look up deal on chain: deal 146791 not found
